username,public_repos,public_gists,followers,following,created_at,updated_at,hireable,company,blog,location,type,site_admin
remoteintech,1,0,603,0,2017-09-07T00:41:04Z,2026-05-20T12:33:03Z,,,https://remoteintech.company/?utm_campaign=GitHub+bio&utm_source=github&utm_medium=bio&utm_content=textlink,Everywhere,Organization,False
goabstract,38,0,198,0,2016-03-22T18:43:27Z,2026-04-06T18:00:19Z,,,https://abstract.com,,Organization,False
PatrickJS,972,323,3551,394,2011-08-31T07:43:17Z,2026-06-12T22:24:50Z,True,@kunai-consulting,patrickjs.com,"San Francisco, Los Angeles, Las Vegas",User,False
videojs,78,0,579,0,2013-01-16T16:06:11Z,2025-04-14T23:58:31Z,,,https://videojs.org,,Organization,False
phaserjs,103,0,488,0,2019-09-03T16:10:21Z,2025-12-18T17:55:01Z,,,https://phaser.io,United States of America,Organization,False
Dogfalo,27,8,1156,2,2012-11-12T05:21:31Z,2026-06-09T18:31:50Z,,,,,User,False
preactjs,39,0,673,0,2017-04-03T13:00:07Z,2020-12-26T22:49:40Z,,,https://preactjs.com,,Organization,False
impress,2,0,48,0,2013-09-17T11:16:46Z,2016-04-14T16:28:09Z,,,,,Organization,False
naptha,24,0,175,0,2014-05-28T03:53:18Z,2022-05-09T20:50:34Z,,,http://projectnaptha.com,"Cambridge, MA",Organization,False
pbakaus,25,5,1573,1,2008-12-28T16:08:50Z,2026-06-05T18:16:18Z,,Google,https://paulbakaus.com,San Francisco,User,False
ToolJet,8,0,585,0,2021-04-09T03:07:25Z,2025-12-15T05:07:53Z,,,https://tooljet.com,,Organization,False
denysdovhan,80,34,2974,140,2013-02-02T21:23:29Z,2026-06-08T15:46:50Z,,@wix,denysdovhan.com,"Kyiv, Ukraine",User,False
drawdb-io,5,0,469,0,2023-07-16T17:07:40Z,2024-09-03T12:15:29Z,,,https://drawdb.app/,,Organization,False
markedjs,15,0,162,0,2016-06-12T08:28:52Z,2026-05-17T11:54:43Z,,,https://marked.js.org,,Organization,False
fastify,139,0,1261,0,2017-01-05T14:50:57Z,2026-05-20T12:21:57Z,,,https://fastify.dev,United States of America,Organization,False
carbon-app,2,0,152,0,2019-06-24T20:58:10Z,2026-06-13T13:13:29Z,,,https://carbon.now.sh,www,Organization,False
koajs,104,0,410,0,2013-07-20T18:53:26Z,2020-04-21T04:07:53Z,,,https://koajs.com,,Organization,False
jondot,419,57,1685,61,2009-05-11T19:46:11Z,2026-05-26T17:18:43Z,True,SpectralOps,https://medium.com/@jondot/,"Tel Aviv, Israel",User,False
alvarotrigo,87,28,3498,10,2012-05-04T15:52:02Z,2026-04-13T14:26:57Z,True,,http://alvarotrigo.com,"Cambridge, UK",User,False
sahat,181,18,4763,18,2011-01-03T05:41:55Z,2026-02-10T01:36:52Z,,iCapital Network,,Remote,User,False
ryanhanwu,80,98,1013,61,2010-08-20T17:36:28Z,2026-05-29T01:21:06Z,,,,Gotham City,User,False
gchq,73,0,2373,0,2015-11-11T12:53:55Z,2026-01-19T08:27:26Z,,,https://gchq.gov.uk,UK,Organization,False
songquanpeng,102,1,1860,245,2018-06-06T14:53:43Z,2026-06-04T04:21:46Z,,South China University of Technology,https://iamazing.cn/,"Shanghai, China",User,False
qishibo,57,2,630,10,2013-08-01T08:02:26Z,2026-05-24T01:32:53Z,,sidu,https://qii404.me/,HD,User,False
zenorocha,147,52,11507,234,2010-09-14T13:36:42Z,2026-06-03T19:58:59Z,,@resend,https://zenorocha.com,"San Francisco, California",User,False
atlassian,385,0,1572,0,2009-12-16T00:16:42Z,2025-05-22T04:58:45Z,,,https://atlassian.com/,Australia,Organization,False
pcottle,26,14,1345,5,2011-10-18T05:56:56Z,2026-05-23T21:44:54Z,,,http://petermcottle.com,"Berkeley, CA",User,False
coreyhaines31,7,0,2205,13,2017-12-24T01:54:55Z,2026-04-03T22:56:35Z,,,corey.co,San Diego,User,False
lutzroeder,10,0,1685,5,2010-10-13T20:55:16Z,2026-06-04T16:02:28Z,,@microsoft,lutzroeder.com,,User,True
adobe,1103,0,3120,0,2010-11-10T16:36:26Z,2026-03-18T12:16:03Z,,,https://adobe.com,"San Jose, CA",Organization,False
gulpjs,72,0,207,0,2013-12-16T21:17:25Z,2026-06-05T11:53:39Z,,,https://gulpjs.com,,Organization,False
lovell,77,8,1737,52,2010-02-25T21:27:12Z,2026-06-07T11:30:19Z,,,https://lovell.info,"London, UK",User,False
docsifyjs,12,0,263,0,2018-06-10T04:02:26Z,2024-04-09T13:56:24Z,,,https://docsify.js.org,Mars,Organization,False
parallax,123,0,110,0,2010-07-01T12:24:08Z,2026-01-19T12:02:53Z,,,https://parall.ax/,,Organization,False
SortableJS,12,0,294,0,2016-02-03T06:54:08Z,2022-03-21T02:56:08Z,,,https://sortablejs.github.io/Sortable,,Organization,False
AMAI-GmbH,5,0,243,0,2019-08-18T19:09:57Z,2019-08-23T06:34:15Z,,,https://am.ai,"Karlsruhe, Germany",Organization,False
webtorrent,38,0,620,0,2013-10-29T02:52:39Z,2026-05-15T11:38:55Z,,,https://webtorrent.io,npm install webtorrent,Organization,False
ascoders,88,7,3904,55,2014-06-24T02:46:48Z,2026-05-11T08:00:49Z,,Bytedance,https://github.com/ascoders/weekly,"Hangzhou, China",User,False
gethomepage,2,0,350,0,2023-01-17T19:54:27Z,2024-06-27T19:27:56Z,,,https://gethomepage.dev/,,Organization,False
layui,7,0,216,0,2014-06-22T10:08:23Z,2025-11-19T17:40:06Z,,,https://layui.dev,Hangzhou China,Organization,False
GoogleChrome,51,0,6560,0,2012-05-25T18:21:42Z,2026-05-20T00:23:41Z,,,,,Organization,False
VincentGarreau,15,0,1567,8,2011-08-05T19:21:16Z,2026-06-09T08:30:05Z,,Livestorm,https://vincentgarreau.com,"Paris, France",User,False
